A,B
6.59885e+06,3.94519e+07
6.62998e+06,3.94467e+07
6.66111e+06,3.94415e+07
6.69224e+06,3.94362e+07
6.72336e+06,3.94309e+07
6.75447e+06,3.94256e+07
6.78559e+06,3.94202e+07
6.81669e+06,3.94149e+07
6.8478e+06,3.94095e+07
6.8789e+06,3.94041e+07
6.90999e+06,3.93986e+07
6.94108e+06,3.93932e+07
6.97217e+06,3.93877e+07
7.00325e+06,3.93822e+07
7.03433e+06,3.93766e+07
7.0654e+06,3.93711e+07
7.09647e+06,3.93655e+07
7.12753e+06,3.93599e+07
7.15859e+06,3.93542e+07
7.18965e+06,3.93486e+07
7.2207e+06,3.93429e+07
7.25175e+06,3.93372e+07
7.28279e+06,3.93314e+07
7.31383e+06,3.93257e+07
7.34486e+06,3.93199e+07
7.37589e+06,3.93141e+07
7.40691e+06,3.93082e+07
7.43793e+06,3.93024e+07
7.46895e+06,3.92965e+07
7.49996e+06,3.92906e+07
7.53096e+06,3.92847e+07
7.56196e+06,3.92787e+07
7.59296e+06,3.92727e+07
7.62395e+06,3.92667e+07
7.65493e+06,3.92607e+07
7.68592e+06,3.92546e+07
7.71689e+06,3.92486e+07
7.74786e+06,3.92425e+07
7.77883e+06,3.92363e+07
7.80979e+06,3.92302e+07
7.84075e+06,3.9224e+07
7.8717e+06,3.92178e+07
7.90265e+06,3.92116e+07
7.93359e+06,3.92053e+07
7.96453e+06,3.91991e+07
7.99547e+06,3.91928e+07
8.02639e+06,3.91864e+07
8.05732e+06,3.91801e+07
8.08823e+06,3.91737e+07
8.11915e+06,3.91673e+07
8.15005e+06,3.91609e+07
8.18096e+06,3.91545e+07
8.21185e+06,3.9148e+07
8.24275e+06,3.91415e+07
8.27363e+06,3.9135e+07
8.30452e+06,3.91284e+07
8.33539e+06,3.91219e+07
8.36627e+06,3.91153e+07
8.39713e+06,3.91087e+07
8.42799e+06,3.9102e+07
8.45885e+06,3.90954e+07
8.4897e+06,3.90887e+07
8.52055e+06,3.9082e+07
8.55139e+06,3.90752e+07
8.58222e+06,3.90685e+07
8.61305e+06,3.90617e+07
8.64387e+06,3.90549e+07
8.67469e+06,3.9048e+07
8.70551e+06,3.90412e+07
8.73631e+06,3.90343e+07
8.76712e+06,3.90274e+07
8.79791e+06,3.90205e+07
8.82871e+06,3.90135e+07
8.85949e+06,3.90065e+07
8.89027e+06,3.89995e+07
8.92105e+06,3.89925e+07
8.95182e+06,3.89854e+07
8.98258e+06,3.89784e+07
9.01334e+06,3.89713e+07
9.04409e+06,3.89641e+07
9.07484e+06,3.8957e+07
9.10558e+06,3.89498e+07
9.13632e+06,3.89426e+07
9.16705e+06,3.89354e+07
9.19777e+06,3.89282e+07
9.22849e+06,3.89209e+07
9.2592e+06,3.89136e+07
9.28991e+06,3.89063e+07
9.32061e+06,3.88989e+07
9.35131e+06,3.88916e+07
9.382e+06,3.88842e+07
9.41268e+06,3.88767e+07
9.44336e+06,3.88693e+07
9.47403e+06,3.88618e+07
9.5047e+06,3.88544e+07
9.53536e+06,3.88468e+07
9.56601e+06,3.88393e+07
9.59666e+06,3.88317e+07
9.6273e+06,3.88242e+07
9.65794e+06,3.88165e+07
9.68857e+06,3.88089e+07
9.71919e+06,3.88013e+07
9.74981e+06,3.87936e+07
9.78042e+06,3.87859e+07
9.81103e+06,3.87781e+07
9.84163e+06,3.87704e+07
9.87222e+06,3.87626e+07
9.90281e+06,3.87548e+07
9.93339e+06,3.8747e+07
9.96397e+06,3.87391e+07
9.99454e+06,3.87312e+07
1.00251e+07,3.87233e+07
1.00557e+07,3.87154e+07
1.00862e+07,3.87075e+07
1.01168e+07,3.86995e+07
1.01473e+07,3.86915e+07
1.01778e+07,3.86835e+07
1.02083e+07,3.86754e+07
1.02389e+07,3.86674e+07
1.02694e+07,3.86593e+07
1.02999e+07,3.86512e+07
1.03304e+07,3.8643e+07
1.03609e+07,3.86349e+07
1.03914e+07,3.86267e+07
1.04218e+07,3.86185e+07
1.04523e+07,3.86102e+07
1.04828e+07,3.8602e+07
1.05132e+07,3.85937e+07
1.05437e+07,3.85854e+07
1.05741e+07,3.8577e+07
1.06046e+07,3.85687e+07
1.0635e+07,3.85603e+07
1.06655e+07,3.85519e+07
1.06959e+07,3.85435e+07
1.07263e+07,3.8535e+07
1.07567e+07,3.85265e+07
1.07871e+07,3.8518e+07
1.08175e+07,3.85095e+07
1.08479e+07,3.8501e+07
1.08783e+07,3.84924e+07
1.09086e+07,3.84838e+07
1.0939e+07,3.84752e+07
1.09694e+07,3.84665e+07
1.09997e+07,3.84578e+07
1.10301e+07,3.84492e+07
1.10604e+07,3.84404e+07
1.10907e+07,3.84317e+07
1.11211e+07,3.84229e+07
1.11514e+07,3.84141e+07
1.11817e+07,3.84053e+07
1.1212e+07,3.83965e+07
1.12423e+07,3.83876e+07
1.12726e+07,3.83788e+07
1.13029e+07,3.83698e+07
1.13332e+07,3.83609e+07
1.13634e+07,3.8352e+07
1.13937e+07,3.8343e+07
1.14239e+07,3.8334e+07
1.14542e+07,3.83249e+07
1.14844e+07,3.83159e+07
1.15147e+07,3.83068e+07
1.15449e+07,3.82977e+07
1.15751e+07,3.82886e+07
1.16053e+07,3.82795e+07
1.16355e+07,3.82703e+07
1.16657e+07,3.82611e+07
1.16959e+07,3.82519e+07
1.17261e+07,3.82426e+07
1.17563e+07,3.82334e+07
1.17865e+07,3.82241e+07
1.18166e+07,3.82148e+07
1.18468e+07,3.82054e+07
1.18769e+07,3.81961e+07
1.19071e+07,3.81867e+07
1.19372e+07,3.81773e+07
1.19673e+07,3.81678e+07
1.19974e+07,3.81584e+07
1.20275e+07,3.81489e+07
1.20576e+07,3.81394e+07
1.20877e+07,3.81299e+07
1.21178e+07,3.81203e+07
1.21479e+07,3.81107e+07
1.2178e+07,3.81011e+07
1.22081e+07,3.80915e+07
1.22381e+07,3.80819e+07
1.22682e+07,3.80722e+07
1.22982e+07,3.80625e+07
1.23282e+07,3.80528e+07
1.23583e+07,3.8043e+07
1.23883e+07,3.80333e+07
1.24183e+07,3.80235e+07
1.24483e+07,3.80137e+07
1.24783e+07,3.80038e+07
1.25083e+07,3.7994e+07
1.25383e+07,3.79841e+07
1.25682e+07,3.79742e+07
1.25982e+07,3.79643e+07
1.26282e+07,3.79543e+07
1.26581e+07,3.79443e+07
1.2688e+07,3.79343e+07
1.2718e+07,3.79243e+07
1.27479e+07,3.79143e+07
1.27778e+07,3.79042e+07
1.28077e+07,3.78941e+07
1.28376e+07,3.7884e+07
1.28675e+07,3.78738e+07
1.28974e+07,3.78637e+07
1.29273e+07,3.78535e+07
1.29572e+07,3.78433e+07
1.2987e+07,3.7833e+07
1.30169e+07,3.78228e+07
1.30467e+07,3.78125e+07
1.30766e+07,3.78022e+07
1.31064e+07,3.77918e+07
1.31362e+07,3.77815e+07
1.3166e+07,3.77711e+07
1.31958e+07,3.77607e+07
1.32256e+07,3.77503e+07
1.32554e+07,3.77398e+07
1.32852e+07,3.77294e+07
1.3315e+07,3.77189e+07
1.33447e+07,3.77083e+07
1.33745e+07,3.76978e+07
1.34042e+07,3.76872e+07
1.3434e+07,3.76766e+07
1.34637e+07,3.7666e+07
1.34934e+07,3.76554e+07
1.35231e+07,3.76447e+07
1.35528e+07,3.7634e+07
1.35825e+07,3.76233e+07
1.36122e+07,3.76126e+07
1.36419e+07,3.76018e+07
1.36716e+07,3.75911e+07
1.37012e+07,3.75803e+07
1.37309e+07,3.75694e+07
1.37605e+07,3.75586e+07
1.37902e+07,3.75477e+07
1.38198e+07,3.75368e+07
1.38494e+07,3.75259e+07
1.3879e+07,3.7515e+07
1.39086e+07,3.7504e+07
1.39382e+07,3.7493e+07
1.39678e+07,3.7482e+07
1.39974e+07,3.7471e+07
1.40269e+07,3.74599e+07
1.40565e+07,3.74488e+07
1.4086e+07,3.74377e+07
1.41156e+07,3.74266e+07
1.41451e+07,3.74154e+07
1.41746e+07,3.74043e+07
1.42042e+07,3.73931e+07
1.42337e+07,3.73819e+07
1.42632e+07,3.73706e+07
1.42926e+07,3.73593e+07
1.43221e+07,3.7348e+07
1.43516e+07,3.73367e+07
1.43811e+07,3.73254e+07
1.44105e+07,3.7314e+07
1.444e+07,3.73027e+07
1.44694e+07,3.72912e+07
1.44988e+07,3.72798e+07
1.45282e+07,3.72684e+07
1.45576e+07,3.72569e+07
1.4587e+07,3.72454e+07
1.46164e+07,3.72339e+07
1.46458e+07,3.72223e+07
1.46752e+07,3.72107e+07
1.47045e+07,3.71991e+07
1.47339e+07,3.71875e+07
